# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
-15	0.00306083
-14.95	0.00306084
-14.9	0.00306085
-14.85	0.00306085
-14.8	0.00306086
-14.75	0.00306087
-14.7	0.00306088
-14.65	0.00306089
-14.6	0.0030609
-14.55	0.00306091
-14.5	0.00306091
-14.45	0.00306092
-14.4	0.00306093
-14.35	0.00306094
-14.3	0.00306095
-14.25	0.00306095
-14.2	0.00306096
-14.15	0.00306097
-14.1	0.00306098
-14.05	0.00306099
-14	0.00306099
-13.95	0.003061
-13.9	0.00306101
-13.85	0.00306102
-13.8	0.00306103
-13.75	0.00306103
-13.7	0.00306104
-13.65	0.00306105
-13.6	0.00306106
-13.55	0.00306106
-13.5	0.00306107
-13.45	0.00306108
-13.4	0.00306109
-13.35	0.00306109
-13.3	0.0030611
-13.25	0.00306111
-13.2	0.00306112
-13.15	0.00306112
-13.1	0.00306113
-13.05	0.00306114
-13	0.00306114
-12.95	0.00306115
-12.9	0.00306116
-12.85	0.00306117
-12.8	0.00306117
-12.75	0.00306118
-12.7	0.00306119
-12.65	0.00306119
-12.6	0.0030612
-12.55	0.00306121
-12.5	0.00306121
-12.45	0.00306122
-12.4	0.00306123
-12.35	0.00306123
-12.3	0.00306124
-12.25	0.00306125
-12.2	0.00306125
-12.15	0.00306126
-12.1	0.00306127
-12.05	0.00306127
-12	0.00306128
-11.95	0.00306129
-11.9	0.00306129
-11.85	0.0030613
-11.8	0.00306131
-11.75	0.00306131
-11.7	0.00306132
-11.65	0.00306133
-11.6	0.00306133
-11.55	0.00306134
-11.5	0.00306134
-11.45	0.00306135
-11.4	0.00306136
-11.35	0.00306136
-11.3	0.00306137
-11.25	0.00306137
-11.2	0.00306138
-11.15	0.00306139
-11.1	0.00306139
-11.05	0.0030614
-11	0.0030614
-10.95	0.00306141
-10.9	0.00306141
-10.85	0.00306142
-10.8	0.00306143
-10.75	0.00306143
-10.7	0.00306144
-10.65	0.00306144
-10.6	0.00306145
-10.55	0.00306145
-10.5	0.00306146
-10.45	0.00306146
-10.4	0.00306147
-10.35	0.00306147
-10.3	0.00306148
-10.25	0.00306148
-10.2	0.00306148
-10.15	0.00306149
-10.1	0.0030615
-10.05	0.0030615
-10	0.00306151
-9.95	0.00306152
-9.9	0.00306153
-9.85	0.00306153
-9.8	0.00306154
-9.75	0.00306154
-9.7	0.00306154
-9.65	0.00306154
-9.6	0.00306154
-9.55	0.00306155
-9.5	0.00306156
-9.45	0.00306157
-9.4	0.00306157
-9.35	0.00306157
-9.3	0.00306158
-9.25	0.00306158
-9.2	0.00306159
-9.15	0.00306159
-9.1	0.0030616
-9.05	0.0030616
-9	0.0030616
-8.95	0.00306161
-8.9	0.00306162
-8.85	0.00306162
-8.8	0.00306162
-8.75	0.00306162
-8.7	0.00306162
-8.65	0.00306163
-8.6	0.00306164
-8.55	0.00306165
-8.5	0.00306164
-8.45	0.00306164
-8.4	0.00306165
-8.35	0.00306166
-8.3	0.00306167
-8.25	0.00306166
-8.2	0.00306166
-8.15	0.00306167
-8.1	0.00306168
-8.05	0.00306168
-8	0.00306168
-7.95	0.00306168
-7.9	0.00306169
-7.85	0.0030617
-7.8	0.0030617
-7.75	0.0030617
-7.7	0.0030617
-7.65	0.00306171
-7.6	0.00306171
-7.55	0.00306171
-7.5	0.00306172
-7.45	0.00306172
-7.4	0.00306172
-7.35	0.00306172
-7.3	0.00306173
-7.25	0.00306174
-7.2	0.00306173
-7.15	0.00306174
-7.1	0.00306175
-7.05	0.00306176
-7	0.00306176
-6.95	0.00306177
-6.9	0.00306181
-6.85	0.00306186
-6.8	0.00306196
-6.75	0.00306221
-6.7	0.00306271
-6.65	0.00306367
-6.6	0.00306544
-6.55	0.00306849
-6.5	0.00307326
-6.45	0.00308
-6.4	0.00308845
-6.35	0.00309752
-6.3	0.00310566
-6.25	0.00311302
-6.2	0.0031264
-6.15	0.00316843
-6.1	0.00329013
-6.05	0.00358345
-6	0.00419622
-5.95	0.0053769
-5.9	0.0075792
-5.85	0.0115789
-5.8	0.018524
-5.75	0.02994
-5.7	0.0477246
-5.65	0.0740897
-5.6	0.111392
-5.55	0.161815
-5.5	0.22689
-5.45	0.306893
-5.4	0.400195
-5.35	0.502733
-5.3	0.607806
-5.25	0.706427
-5.2	0.788425
-5.15	0.844404
-5.1	0.868474
-5.05	0.861372
-5	0.832843
-4.95	0.80063
-4.9	0.78238
-4.85	0.782296
-4.8	0.786088
-4.75	0.772671
-4.7	0.731003
-4.65	0.66923
-4.6	0.611117
-4.55	0.576609
-4.5	0.559763
-4.45	0.536209
-4.4	0.492324
-4.35	0.439619
-4.3	0.402222
-4.25	0.385611
-4.2	0.368622
-4.15	0.33527
-4.1	0.295874
-4.05	0.272462
-4	0.264042
-3.95	0.248532
-3.9	0.219446
-3.85	0.194799
-3.8	0.187206
-3.75	0.180649
-3.7	0.161113
-3.65	0.139975
-3.6	0.133343
-3.55	0.130573
-3.5	0.116694
-3.45	0.100076
-3.4	0.0958032
-3.35	0.0945027
-3.3	0.0833368
-3.25	0.0709798
-3.2	0.0695502
-3.15	0.0683523
-3.1	0.0584625
-3.05	0.0501329
-3	0.0508052
-2.95	0.0485171
-2.9	0.0394457
-2.85	0.0347701
-2.8	0.0360038
-2.75	0.0320665
-2.7	0.0243129
-2.65	0.0228785
-2.6	0.0234009
-2.55	0.0183637
-2.5	0.0130358
-2.45	0.0139596
-2.4	0.0131959
-2.35	0.00820157
-2.3	0.00622048
-2.25	0.00780851
-2.2	0.00576434
-2.15	0.00182441
-2.1	0.00354117
-2.05	0.00351345
-2	0.000556463
-1.95	0.00249648
-1.9	0.00294887
-1.85	0.000763108
-1.8	0.00277252
-1.75	0.00391684
-1.7	0.00237428
-1.65	0.00227543
-1.6	0.00412132
-1.55	0.00361382
-1.5	0.00195078
-1.45	0.00328321
-1.4	0.00401768
-1.35	0.0027209
-1.3	0.00221846
-1.25	0.00367409
-1.2	0.00358307
-1.15	0.0022404
-1.1	0.0029398
-1.05	0.00384434
-1	0.00299721
-0.95	0.00234305
-0.9	0.00348549
-0.85	0.00353421
-0.8	0.0024463
-0.75	0.00287699
-0.7	0.00366489
-0.65	0.00302215
-0.6	0.00251773
-0.55	0.00344999
-0.5	0.00347857
-0.45	0.00261738
-0.4	0.00303845
-0.35	0.00359006
-0.3	0.00295073
-0.25	0.00268655
-0.2	0.00342106
-0.15	0.00326844
-0.1	0.00263298
-0.05	0.00313311
0	0.00343315
0.05	0.00282953
0.1	0.00286454
0.15	0.00340874
0.2	0.00308327
0.25	0.00273322
0.3	0.00325487
0.35	0.00327488
0.4	0.00277991
0.45	0.00305991
0.5	0.0033529
0.55	0.00293391
0.6	0.00289867
0.65	0.00331307
0.7	0.00309741
0.75	0.00282339
0.8	0.00319485
0.85	0.00321573
0.9	0.00285197
0.95	0.00305619
1	0.0032663
1.05	0.00295208
1.1	0.00294486
1.15	0.00324619
1.2	0.00306902
1.25	0.00288995
1.3	0.00317238
1.35	0.00316192
1.4	0.00290211
1.45	0.00307705
1.5	0.0032094
1.55	0.00296552
1.6	0.00299131
1.65	0.00320443
1.7	0.00304888
1.75	0.00294058
1.8	0.0031556
1.85	0.00312213
1.9	0.00293785
1.95	0.00308393
2	0.0031653
2.05	0.00297933
2.1	0.00301531
2.15	0.00316839
2.2	0.00304367
2.25	0.00297213
2.3	0.00313364
2.35	0.00310476
2.4	0.00296852
2.45	0.00307672
2.5	0.00314134
2.55	0.00300317
2.6	0.00302106
2.65	0.00314129
2.7	0.00305768
2.75	0.00298945
2.8	0.00310675
2.85	0.00310667
2.9	0.00299558
2.95	0.00305509
3	0.00312802
3.05	0.00303426
3.1	0.00301264
3.15	0.00311289
3.2	0.00308328
3.25	0.00300277
3.3	0.00307076
3.35	0.00311391
3.4	0.00302996
3.45	0.00302754
3.5	0.00310823
3.55	0.00307505
3.6	0.00301259
3.65	0.00307103
3.7	0.00310535
3.75	0.00303612
3.8	0.00303054
3.85	0.00309837
3.9	0.00307793
3.95	0.00302068
4	0.00306083
4.05	0.00310069
4.1	0.00304948
4.15	0.00302787
4.2	0.00308325
4.25	0.00308683
4.3	0.00303339
4.35	0.00304471
4.4	0.00309228
4.45	0.00306999
4.5	0.00303
4.55	0.00306037
4.6	0.00309181
4.65	0.00305704
4.7	0.00303323
4.75	0.0030706
4.8	0.00308716
4.85	0.00304926
4.9	0.00303825
4.95	0.0030757
5	0.0030822
5.05	0.00304605
5.1	0.00304245
5.15	0.003077
5.2	0.00307894
5.25	0.00304622
5.3	0.00304466
5.35	0.00307563
5.4	0.00307792
5.45	0.00304882
5.5	0.00304483
5.55	0.00307201
5.6	0.00307842
5.65	0.00305354
5.7	0.00304398
5.75	0.00306609
5.8	0.00307888
5.85	0.00306047
5.9	0.00304428
5.95	0.0030581
6	0.00307684
6.05	0.00306879
6.1	0.00304853
6.15	0.00305001
6.2	0.00306978
6.25	0.00307518
6.3	0.00305832
6.35	0.00304662
6.4	0.00305802
6.45	0.00307391
6.5	0.00307016
6.55	0.00305328
6.6	0.00304865
6.65	0.00306232
6.7	0.00307384
6.75	0.00306727
6.8	0.00305265
6.85	0.00305016
6.9	0.00306237
