# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
-15	0.00306083
-14.95	0.00306084
-14.9	0.00306085
-14.85	0.00306085
-14.8	0.00306086
-14.75	0.00306087
-14.7	0.00306088
-14.65	0.00306089
-14.6	0.0030609
-14.55	0.00306091
-14.5	0.00306091
-14.45	0.00306092
-14.4	0.00306093
-14.35	0.00306094
-14.3	0.00306095
-14.25	0.00306095
-14.2	0.00306096
-14.15	0.00306097
-14.1	0.00306098
-14.05	0.00306099
-14	0.00306099
-13.95	0.003061
-13.9	0.00306101
-13.85	0.00306102
-13.8	0.00306103
-13.75	0.00306103
-13.7	0.00306104
-13.65	0.00306105
-13.6	0.00306106
-13.55	0.00306106
-13.5	0.00306107
-13.45	0.00306108
-13.4	0.00306109
-13.35	0.00306109
-13.3	0.0030611
-13.25	0.00306111
-13.2	0.00306112
-13.15	0.00306112
-13.1	0.00306113
-13.05	0.00306114
-13	0.00306114
-12.95	0.00306115
-12.9	0.00306116
-12.85	0.00306117
-12.8	0.00306117
-12.75	0.00306118
-12.7	0.00306119
-12.65	0.00306119
-12.6	0.0030612
-12.55	0.00306121
-12.5	0.00306121
-12.45	0.00306122
-12.4	0.00306123
-12.35	0.00306123
-12.3	0.00306124
-12.25	0.00306125
-12.2	0.00306125
-12.15	0.00306126
-12.1	0.00306127
-12.05	0.00306127
-12	0.00306128
-11.95	0.00306129
-11.9	0.00306129
-11.85	0.0030613
-11.8	0.00306131
-11.75	0.00306131
-11.7	0.00306132
-11.65	0.00306133
-11.6	0.00306133
-11.55	0.00306134
-11.5	0.00306134
-11.45	0.00306135
-11.4	0.00306136
-11.35	0.00306136
-11.3	0.00306137
-11.25	0.00306137
-11.2	0.00306138
-11.15	0.00306139
-11.1	0.00306139
-11.05	0.0030614
-11	0.0030614
-10.95	0.00306141
-10.9	0.00306141
-10.85	0.00306142
-10.8	0.00306143
-10.75	0.00306143
-10.7	0.00306144
-10.65	0.00306144
-10.6	0.00306145
-10.55	0.00306145
-10.5	0.00306146
-10.45	0.00306146
-10.4	0.00306147
-10.35	0.00306147
-10.3	0.00306148
-10.25	0.00306149
-10.2	0.00306149
-10.15	0.0030615
-10.1	0.0030615
-10.05	0.00306151
-10	0.00306151
-9.95	0.00306152
-9.9	0.00306152
-9.85	0.00306153
-9.8	0.00306153
-9.75	0.00306154
-9.7	0.00306154
-9.65	0.00306154
-9.6	0.00306155
-9.55	0.00306155
-9.5	0.00306156
-9.45	0.00306156
-9.4	0.00306157
-9.35	0.00306157
-9.3	0.00306158
-9.25	0.00306158
-9.2	0.00306159
-9.15	0.00306159
-9.1	0.0030616
-9.05	0.0030616
-9	0.0030616
-8.95	0.00306161
-8.9	0.00306161
-8.85	0.00306162
-8.8	0.00306162
-8.75	0.00306162
-8.7	0.00306163
-8.65	0.00306163
-8.6	0.00306164
-8.55	0.00306164
-8.5	0.00306165
-8.45	0.00306165
-8.4	0.00306165
-8.35	0.00306166
-8.3	0.00306166
-8.25	0.00306166
-8.2	0.00306167
-8.15	0.00306167
-8.1	0.00306168
-8.05	0.00306168
-8	0.00306168
-7.95	0.00306169
-7.9	0.00306169
-7.85	0.00306169
-7.8	0.0030617
-7.75	0.0030617
-7.7	0.0030617
-7.65	0.00306171
-7.6	0.00306171
-7.55	0.00306171
-7.5	0.00306172
-7.45	0.00306172
-7.4	0.00306172
-7.35	0.00306173
-7.3	0.00306173
-7.25	0.00306173
-7.2	0.00306174
-7.15	0.00306174
-7.1	0.00306174
-7.05	0.00306174
-7	0.00306175
-6.95	0.00306175
-6.9	0.00306175
-6.85	0.00306176
-6.8	0.00306176
-6.75	0.00306176
-6.7	0.00306176
-6.65	0.00306177
-6.6	0.00306177
-6.55	0.00306177
-6.5	0.00306177
-6.45	0.00306178
-6.4	0.00306178
-6.35	0.00306178
-6.3	0.00306178
-6.25	0.00306179
-6.2	0.00306179
-6.15	0.00306179
-6.1	0.00306179
-6.05	0.0030618
-6	0.0030618
-5.95	0.0030618
-5.9	0.0030618
-5.85	0.0030618
-5.8	0.00306181
-5.75	0.00306181
-5.7	0.00306181
-5.65	0.00306181
-5.6	0.00306181
-5.55	0.00306182
-5.5	0.00306182
-5.45	0.00306182
-5.4	0.00306182
-5.35	0.00306182
-5.3	0.00306182
-5.25	0.00306183
-5.2	0.00306183
-5.15	0.00306183
-5.1	0.00306183
-5.05	0.00306183
-5	0.00306183
-4.95	0.00306183
-4.9	0.00306184
-4.85	0.00306184
-4.8	0.00306184
-4.75	0.00306184
-4.7	0.00306184
-4.65	0.00306184
-4.6	0.00306184
-4.55	0.00306184
-4.5	0.00306185
-4.45	0.00306185
-4.4	0.00306185
-4.35	0.00306185
-4.3	0.00306185
-4.25	0.00306185
-4.2	0.00306185
-4.15	0.00306185
-4.1	0.00306185
-4.05	0.00306185
-4	0.00306186
-3.95	0.00306186
-3.9	0.00306186
-3.85	0.00306186
-3.8	0.00306186
-3.75	0.00306186
-3.7	0.00306186
-3.65	0.00306186
-3.6	0.00306186
-3.55	0.00306186
-3.5	0.00306186
-3.45	0.00306186
-3.4	0.00306186
-3.35	0.00306186
-3.3	0.00306186
-3.25	0.00306186
-3.2	0.00306186
-3.15	0.00306186
-3.1	0.00306186
-3.05	0.00306186
-3	0.00306186
-2.95	0.00306186
-2.9	0.00306186
-2.85	0.00306186
-2.8	0.00306186
-2.75	0.00306186
-2.7	0.00306186
-2.65	0.00306186
-2.6	0.00306186
-2.55	0.00306186
-2.5	0.00306186
-2.45	0.00306186
-2.4	0.00306186
-2.35	0.00306186
-2.3	0.00306186
-2.25	0.00306186
-2.2	0.00306186
-2.15	0.00306186
-2.1	0.00306186
-2.05	0.00306186
-2	0.00306186
-1.95	0.00306185
-1.9	0.00306185
-1.85	0.00306185
-1.8	0.00306185
-1.75	0.00306185
-1.7	0.00306185
-1.65	0.00306185
-1.6	0.00306185
-1.55	0.00306185
-1.5	0.00306185
-1.45	0.00306184
-1.4	0.00306184
-1.35	0.00306184
-1.3	0.00306184
-1.25	0.00306184
-1.2	0.00306184
-1.15	0.00306184
-1.1	0.00306184
-1.05	0.00306183
-1	0.00306183
-0.95	0.00306183
-0.9	0.00306183
-0.85	0.00306183
-0.8	0.00306183
-0.75	0.00306183
-0.7	0.00306182
-0.65	0.00306182
-0.6	0.00306182
-0.55	0.00306182
-0.5	0.00306182
-0.45	0.00306182
-0.4	0.00306181
-0.35	0.00306181
-0.3	0.00306181
-0.25	0.00306181
-0.2	0.00306181
-0.15	0.0030618
-0.1	0.0030618
-0.05	0.0030618
0	0.0030618
0.05	0.0030618
0.1	0.00306179
0.15	0.00306179
0.2	0.00306179
0.25	0.00306179
0.3	0.00306178
0.35	0.00306178
0.4	0.00306178
0.45	0.00306178
0.5	0.00306177
0.55	0.00306177
0.6	0.00306177
0.65	0.00306177
0.7	0.00306176
0.75	0.00306176
0.8	0.00306176
0.85	0.00306176
0.9	0.00306175
0.95	0.00306175
1	0.00306175
1.05	0.00306174
1.1	0.00306174
1.15	0.00306174
1.2	0.00306174
1.25	0.00306173
1.3	0.00306173
1.35	0.00306173
1.4	0.00306172
1.45	0.00306172
1.5	0.00306172
1.55	0.00306171
1.6	0.00306171
1.65	0.00306171
1.7	0.0030617
1.75	0.0030617
1.8	0.0030617
1.85	0.00306169
1.9	0.00306169
1.95	0.00306169
2	0.00306168
2.05	0.00306168
2.1	0.00306168
2.15	0.00306167
2.2	0.00306167
2.25	0.00306166
2.3	0.00306166
2.35	0.00306166
2.4	0.00306165
2.45	0.00306165
2.5	0.00306165
2.55	0.00306164
2.6	0.00306164
2.65	0.00306163
2.7	0.00306163
2.75	0.00306162
2.8	0.00306162
2.85	0.00306162
2.9	0.00306161
2.95	0.00306161
3	0.0030616
3.05	0.0030616
3.1	0.0030616
3.15	0.00306159
3.2	0.00306159
3.25	0.00306158
3.3	0.00306158
3.35	0.00306157
3.4	0.00306157
3.45	0.00306156
3.5	0.00306156
3.55	0.00306155
3.6	0.00306155
3.65	0.00306154
3.7	0.00306154
3.75	0.00306154
3.8	0.00306153
3.85	0.00306153
3.9	0.00306152
3.95	0.00306152
4	0.00306151
4.05	0.00306151
4.1	0.0030615
4.15	0.0030615
4.2	0.00306149
4.25	0.00306149
4.3	0.00306148
4.35	0.00306147
4.4	0.00306147
4.45	0.00306146
4.5	0.00306146
4.55	0.00306145
4.6	0.00306145
4.65	0.00306144
4.7	0.00306144
4.75	0.00306143
4.8	0.00306143
4.85	0.00306142
4.9	0.00306141
4.95	0.00306141
5	0.0030614
5.05	0.0030614
5.1	0.00306139
5.15	0.00306139
5.2	0.00306138
5.25	0.00306137
5.3	0.00306137
5.35	0.00306136
5.4	0.00306136
5.45	0.00306135
5.5	0.00306134
5.55	0.00306134
5.6	0.00306133
5.65	0.00306133
5.7	0.00306132
5.75	0.00306131
5.8	0.00306131
5.85	0.0030613
5.9	0.00306129
5.95	0.00306129
6	0.00306128
6.05	0.00306127
6.1	0.00306127
6.15	0.00306126
6.2	0.00306125
6.25	0.00306125
6.3	0.00306124
6.35	0.00306123
6.4	0.00306123
6.45	0.00306122
6.5	0.00306121
6.55	0.00306121
6.6	0.0030612
6.65	0.00306119
