# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
-15	-0.0024873
-14.95	-0.00239493
-14.9	-0.00229655
-14.85	-0.00219242
-14.8	-0.00208279
-14.75	-0.00196795
-14.7	-0.00184817
-14.65	-0.00172376
-14.6	-0.00159503
-14.55	-0.00146231
-14.5	-0.00132591
-14.45	-0.0011862
-14.4	-0.00104351
-14.35	-0.00089821
-14.3	-0.000750656
-14.25	-0.00060122
-14.2	-0.000450277
-14.15	-0.000298204
-14.1	-0.000145384
-14.05	7.80165e-06
-14	0.000160968
-13.95	0.000313733
-13.9	0.000465711
-13.85	0.000616524
-13.8	0.000765793
-13.75	0.000913143
-13.7	0.00105821
-13.65	0.00120062
-13.6	0.00134002
-13.55	0.00147607
-13.5	0.00160842
-13.45	0.00173674
-13.4	0.00186071
-13.35	0.00198001
-13.3	0.00209436
-13.25	0.00220346
-13.2	0.00230704
-13.15	0.00240483
-13.1	0.00249661
-13.05	0.00258212
-13	0.00266117
-12.95	0.00273355
-12.9	0.00279908
-12.85	0.00285759
-12.8	0.00290895
-12.75	0.00295302
-12.7	0.00298968
-12.65	0.00301886
-12.6	0.00304047
-12.55	0.00305447
-12.5	0.00306081
-12.45	0.00305948
-12.4	0.00305048
-12.35	0.00303384
-12.3	0.0030096
-12.25	0.00297782
-12.2	0.00293857
-12.15	0.00289196
-12.1	0.00283811
-12.05	0.00277714
-12	0.00270922
-11.95	0.0026345
-11.9	0.00255318
-11.85	0.00246547
-11.8	0.00237158
-11.75	0.00227174
-11.7	0.00216621
-11.65	0.00205526
-11.6	0.00193915
-11.55	0.00181818
-11.5	0.00169266
-11.45	0.00156289
-11.4	0.00142921
-11.35	0.00129195
-11.3	0.00115145
-11.25	0.00100806
-11.2	0.000862144
-11.15	0.000714069
-11.1	0.000564205
-11.05	0.000412926
-11	0.000260612
-10.95	0.000107644
-10.9	-4.55938e-05
-10.85	-0.000198718
-10.8	-0.000351345
-10.75	-0.000503092
-10.7	-0.000653579
-10.65	-0.000802429
-10.6	-0.000949269
-10.55	-0.00109373
-10.5	-0.00123545
-10.45	-0.00137408
-10.4	-0.00150926
-10.35	-0.00164066
-10.3	-0.00176796
-10.25	-0.00189082
-10.2	-0.00200894
-10.15	-0.00212203
-10.1	-0.00222981
-10.05	-0.00233199
-10	-0.00242834
-9.95	-0.0025186
-9.9	-0.00260255
-9.85	-0.00267998
-9.8	-0.00275069
-9.75	-0.00281451
-9.7	-0.00287128
-9.65	-0.00292085
-9.6	-0.00296311
-9.55	-0.00299794
-9.5	-0.00302525
-9.45	-0.00304499
-9.4	-0.0030571
-9.35	-0.00306155
