# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
-15	0.00178382
-14.95	0.00190606
-14.9	0.00202352
-14.85	0.00213592
-14.8	0.00224296
-14.75	0.00234438
-14.7	0.00243993
-14.65	0.00252936
-14.6	0.00261246
-14.55	0.00268902
-14.5	0.00275883
-14.45	0.00282173
-14.4	0.00287756
-14.35	0.00292619
-14.3	0.00296747
-14.25	0.00300133
-14.2	0.00302766
-14.15	0.00304641
-14.1	0.00305752
-14.05	0.00306098
-14	0.00305676
-13.95	0.00304488
-13.9	0.00302537
-13.85	0.00299829
-13.8	0.00296369
-13.75	0.00292166
-13.7	0.00287231
-13.65	0.00281577
-13.6	0.00275216
-13.55	0.00268166
-13.5	0.00260445
-13.45	0.0025207
-13.4	0.00243064
-13.35	0.00233449
-13.3	0.00223249
-13.25	0.00212489
-13.2	0.00201197
-13.15	0.001894
-13.1	0.00177129
-13.05	0.00164414
-13	0.00151287
-12.95	0.00137781
-12.9	0.0012393
-12.85	0.00109768
-12.8	0.000953305
-12.75	0.000806544
-12.7	0.000657761
-12.65	0.00050733
-12.6	0.000355626
-12.55	0.000203031
-12.5	4.99265e-05
-12.45	-0.000103304
-12.4	-0.000256276
-12.35	-0.000408607
-12.3	-0.000559915
-12.25	-0.00070982
-12.2	-0.000857947
-12.15	-0.00100393
-12.1	-0.00114739
-12.05	-0.00128798
-12	-0.00142534
-11.95	-0.00155913
-11.9	-0.00168901
-11.85	-0.00181467
-11.8	-0.00193577
-11.75	-0.00205203
-11.7	-0.00216315
-11.65	-0.00226884
-11.6	-0.00236885
-11.55	-0.00246293
-11.5	-0.00255083
-11.45	-0.00263234
-11.4	-0.00270726
-11.35	-0.00277539
-11.3	-0.00283657
-11.25	-0.00289065
-11.2	-0.00293747
-11.15	-0.00297694
-11.1	-0.00300895
-11.05	-0.00303342
-11	-0.00305029
-10.95	-0.00305952
-10.9	-0.00306107
-10.85	-0.00305496
-10.8	-0.0030412
-10.75	-0.00301981
-10.7	-0.00299086
-10.65	-0.00295441
-10.6	-0.00291056
-10.55	-0.00285941
-10.5	-0.0028011
-10.45	-0.00273578
-10.4	-0.00266359
-10.35	-0.00258473
-10.3	-0.0024994
-10.25	-0.0024078
-10.2	-0.00231017
-10.15	-0.00220675
-10.1	-0.00209779
-10.05	-0.00198359
-10	-0.00186441
-9.95	-0.00174056
-9.9	-0.00161234
-9.85	-0.00148009
-9.8	-0.00134413
